Open,High,Low,Close,Contact,Open.Int,Rtn..1.Day,Rtn..1.Day.1,Rtn..2.Day,Date,sma20,ema14,dn,mavg,up,pctB,rsi14,macd,signal
1443,1443,1401,1407.6,226,125600,-0.0168,-0.0601,-0.0403,2000/07/21,1488.455,1473.879007,1419.807,1488.455,1557.103,-0.088910092,32.84026181,0.000602707,
1390,1390,1318,1323,160,124400,-0.0601,0.0211,-0.0046,2000/07/24,1481.505,1453.761806,1382.235489,1481.505,1580.774511,-0.298356906,22.88519347,-0.696949501,
1290,1364.9,1280,1350.9,492,83600,0.0211,-0.0252,-0.0104,2000/07/25,1476.255,1440.046899,1362.129648,1476.255,1590.380352,-0.049198746,30.38046354,-1.258390463,
1358.85,1370,1312,1316.85,272,68800,-0.0252,0.0151,0.0248,2000/07/26,1468.61,1423.620646,1334.952454,1468.61,1602.267546,-0.067719536,26.93910254,-1.840779617,
1320,1339,1301,1336.8,532,44400,0.0151,0.0095,0.0082,2000/07/27,1460.9325,1412.04456,1315.988327,1460.9325,1605.876673,0.07179203,31.81270149,-2.492401695,-0.231327778
1350,1370,1348,1349.55,412,96400,0.0095,-0.0013,-0.0041,2000/07/28,1454.1825,1403.711952,1301.879453,1454.1825,1606.485547,0.156498994,34.80583099,-3.19075394,-0.744298356
1342,1352,1340,1347.75,356,94800,-0.0013,-0.0028,-0.0024,2000/07/31,1446.5075,1396.250358,1289.081005,1446.5075,1603.933995,0.186337741,34.57508599,-3.863713637,-1.316687895
1353.15,1355,1340,1344,72,98000,-0.0028,0.0003,-0.0103,2000/08/01,1437.9875,1389.283644,1277.761351,1437.9875,1598.213649,0.206703617,34.06835795,-4.52817602,-1.92583647
1337,1347,1326,1344.45,476,106000,0.0003,-0.0107,-0.0122,2000/08/02,1429.075,1383.305825,1268.858585,1429.075,1589.291415,0.235904089,34.19299574,-5.046076304,-2.546293163
1340,1350,1330,1330.1,334,92000,-0.0107,-0.0015,-0.0054,2000/08/03,1419.685,1376.211715,1259.379526,1419.685,1579.990474,0.220580347,32.10850495,-5.478824008,-3.155118354
1333,1340,1315,1328.05,274,93200,-0.0015,-0.0038,0.0192,2000/08/04,1410.2025,1369.790153,1251.78476,1410.2025,1568.62024,0.24070928,31.81016229,-5.741331891,-3.715605286
1325.5,1329,1314,1322.95,244,99200,-0.0038,0.0231,0.0251,2000/08/07,1400.88,1363.544799,1244.985435,1400.88,1556.774565,0.25005543,31.03751165,-5.965570513,-4.238625292
1328,1358.9,1328,1353.5,338,86000,0.0231,0.0019,-0.0115,2000/08/08,1392.6075,1362.205492,1245.331411,1392.6075,1539.883589,0.367230654,40.3794869,-5.906795623,-4.690404848
1362,1378,1356.05,1356.1,232,88800,0.0019,-0.0133,-0.0282,2000/08/09,1383.5875,1361.391427,1251.336398,1383.5875,1515.838602,0.39607837,41.11064186,-5.307076071,-5.003146445
1367,1369.9,1335.05,1338,192,83600,-0.0133,-0.015,-0.0096,2000/08/10,1374.3275,1358.27257,1257.431489,1374.3275,1491.223511,0.34461617,37.64918293,-4.905691128,-5.193695022
1331,1332,1315.05,1317.9,340,93600,-0.015,0.0055,0.0304,2000/08/11,1364.6275,1352.889561,1263.930472,1364.6275,1465.324528,0.267979746,34.20492452,-4.377093049,-5.250737179
1325,1327.7,1305,1325.2,110,92000,0.0055,0.0247,0.014,2000/08/14,1356.72,1349.197619,1270.803317,1356.72,1442.636683,0.316566475,36.47780781,-3.938244744,-5.185189259
1338,1357.9,1338,1357.9,130,80400,0.0247,-0.0104,0.0047,2000/08/16,1351.3125,1350.357937,1281.495734,1351.3125,1421.129266,0.547177063,45.55141403,-3.484564495,-5.011687947
1355,1368.95,1341.8,1343.8,132,75200,-0.0104,0.0153,0.0232,2000/08/17,1346.3025,1349.483545,1290.921335,1346.3025,1401.683665,0.477406579,42.71793046,-3.037409976,-4.740419721
1353,1364.3,1346.5,1364.3,54,77600,0.0153,0.0078,0.0128,2000/08/18,1342.935,1351.459072,1302.566001,1342.935,1383.303999,0.764621373,47.80179357,-2.446817297,-4.374362544
1366,1375.8,1365.55,1374.95,192,74000,0.0078,0.0049,0.0066,2000/08/21,1341.3025,1354.591196,1309.875195,1341.3025,1372.729805,1.035322714,50.27104281,-1.85445752,-3.917572211
1375.5,1389.7,1375.5,1381.75,264,70000,0.0049,0.0016,0.0006,2000/08/22,1344.24,1358.21237,1309.406631,1344.24,1379.073369,1.0384205,51.83765312,-1.178267582,-3.392180207
1385,1395,1380,1384,288,56400,0.0016,-0.001,-0.0022,2000/08/23,1345.895,1361.650721,1307.04004,1345.895,1384.74996,0.99034924,52.37230302,-0.557448221,-2.864443779
1381.05,1385.1,1374,1382.6,480,46800,-0.001,-0.0012,-0.0069,2000/08/24,1349.1825,1364.443958,1309.594544,1349.1825,1388.770456,0.922066497,51.98560217,0.044482072,-2.314424535
1385.1,1392,1380,1380.95,262,44000,-0.0012,-0.0058,-0.0103,2000/08/25,1351.39,1366.644763,1309.930579,1351.39,1392.849421,0.856493159,51.5029369,0.392697554,-1.784447801
1378,1379,1325,1373,54,45200,-0.0058,-0.0046,0.0007,2000/08/28,1352.5625,1367.492128,1310.064196,1352.5625,1395.060804,0.74045077,49.13577142,0.664490358,-1.27303279
1366.5,1369,1360,1366.75,38,43200,-0.0046,0.0053,0.0187,2000/08/29,1353.5125,1367.393178,1310.639188,1353.5125,1396.385812,0.654379256,47.29536893,0.959155742,-0.779286097
1372,1377,1370.25,1374,288,37600,0.0053,0.0134,0.04,2000/08/30,1355.0125,1368.274088,1311.481237,1355.0125,1398.543763,0.718090386,49.65121392,1.158497434,-0.313074162
1378.9,1393.9,1378.9,1392.35,182,37600,0.0134,0.0263,0.0292,2000/08/31,1357.4075,1371.484209,1311.271492,1357.4075,1403.543508,0.878690108,55.11935564,1.452810251,0.120217787
1416,1440,1413,1429,356,83600,0.0263,0.0028,0.0065,2000/09/04,1362.3525,1379.152981,1308.438898,1362.3525,1416.266102,1.118095412,63.61816284,1.566892448,0.500367784
1428.25,1433.5,1428.25,1433,230,92800,0.0028,0.0037,0.0089,2000/09/05,1367.6,1386.332584,1307.939184,1367.6,1427.260816,1.048098434,64.41028846,1.836865287,0.835382547
1428,1445,1428,1438.3,362,120800,0.0037,0.0051,0.0116,2000/09/06,1373.3675,1393.261573,1309.90625,1373.3675,1436.82875,1.011591718,65.48266487,2.034001557,1.123321411
1435.05,1455,1435,1445.7,190,140000,0.0051,0.0064,0.0061,2000/09/07,1377.9775,1400.253363,1307.907703,1377.9775,1448.047297,0.983250293,66.97875171,2.183932596,1.361038136
1449.95,1458,1448.5,1455,298,153600,0.0064,-0.0004,0.0115,2000/09/08,1382.9225,1407.552915,1306.093258,1382.9225,1459.751742,0.969075952,68.80850147,2.31080175,1.574160825
1458,1468,1453.1,1454.45,392,212800,-0.0004,0.0119,0.0017,2000/09/11,1388.745,1413.805859,1308.827812,1388.745,1468.662188,0.911081783,68.56652409,2.422801059,1.76952868
1451.8,1474,1448,1471.7,282,216400,0.0119,-0.0101,-0.0139,2000/09/12,1396.435,1421.525078,1315.671666,1396.435,1477.198334,0.96596021,71.90379475,2.556391396,1.946999308
1479.1,1480,1453,1456.85,142,228800,-0.0101,-0.0038,-0.0223,2000/09/13,1403.0175,1426.235068,1325.142547,1403.0175,1480.892453,0.845634238,65.46060293,2.646088596,2.112287215
1454,1464,1440,1451.25,206,212400,-0.0038,-0.0185,-0.0597,2000/09/14,1407.685,1429.570392,1329.996371,1407.685,1485.373629,0.780382087,63.16206422,2.750630945,2.256489515
1445,1449.95,1422.05,1424.35,354,179200,-0.0185,-0.0419,-0.0671,2000/09/15,1411.7125,1428.87434,1339.532684,1411.7125,1483.892316,0.587541786,53.45270737,2.893990918,2.4039449
1401,1401,1360,1364.6,546,156800,-0.0419,-0.0263,-0.0112,2000/09/18,1411.7275,1420.304428,1339.586988,1411.7275,1483.868012,0.173363145,39.08192509,2.813750202,2.512487669
1340,1373,1302.2,1328.75,370,124400,-0.0263,0.0155,0.002,2000/09/19,1409.4175,1408.097171,1330.111477,1409.4175,1488.723523,-0.008583693,33.29752199,2.460066056,2.559828169
1350,1356,1320,1349.35,162,114000,0.0155,-0.0133,-0.0567,2000/09/20,1407.7975,1400.264215,1325.048056,1407.7975,1490.546944,0.146840527,38.89417,1.895942166,2.527829232
1345,1350,1330,1331.45,186,118400,-0.0133,-0.044,-0.0286,2000/09/21,1405.17,1391.088986,1316.44357,1405.17,1493.89643,0.084565727,36.06268311,1.272442103,2.412455938
1306.3,1318,1265,1272.9,406,100400,-0.044,0.0161,-0.0056,2000/09/22,1399.685,1375.330455,1294.095095,1399.685,1505.274905,-0.100365156,28.7022342,0.520794514,2.201121877
1293,1295,1278,1293.35,212,80400,0.0161,-0.0213,0.0012,2000/09/25,1395.305,1364.399727,1280.136789,1395.305,1510.473211,0.057364837,33.78558313,-0.251511302,1.889132688
1286,1286,1261,1265.8,200,63200,-0.0213,0.023,0.001,2000/09/26,1389.945,1351.253097,1261.868441,1389.945,1518.021559,0.015348471,30.61842451,-1.115464557,1.471182338
1254.85,1300,1245,1294.9,622,85600,0.023,-0.0215,-0.0093,2000/09/27,1386.3525,1343.739351,1251.998157,1386.3525,1520.706843,0.159659308,37.30393743,-1.85591865,0.959343494
1300,1303.3,1267,1267.05,342,102400,-0.0215,0.0124,0.0187,2000/09/28,1381.005,1333.514104,1236.946655,1381.005,1525.063345,0.104483171,33.93385397,-2.777948092,0.329128049
1285,1289,1275,1282.8,178,182000,0.0124,0.0062,0.0203,2000/09/29,1375.5275,1326.752223,1225.407889,1375.5275,1525.647111,0.191154608,37.37928865,-3.556925339,-0.378724789
1270.05,1295,1260,1290.7,212,179600,0.0062,0.0141,0.0007,2000/10/03,1368.6125,1321.94526,1216.257953,1368.6125,1520.967047,0.244305301,39.09501916,-4.283289855,-1.127986557
1290.05,1310,1290.05,1308.85,214,162800,0.0141,-0.0132,-0.012,2000/10/04,1362.405,1320.199226,1210.935739,1362.405,1513.874261,0.323214955,42.96164619,-4.792154506,-1.871108409
1325,1325,1290,1291.6,266,171200,-0.0132,0.0012,-0.0129,2000/10/05,1355.07,1316.385996,1204.808936,1355.07,1505.331064,0.28880091,40.34034892,-5.019164312,-2.570175789
1285,1294,1273,1293.1,226,166800,0.0012,-0.014,-0.037,2000/10/06,1347.44,1313.281196,1200.910765,1347.44,1493.969235,0.314576251,40.67929337,-5.039717174,-3.188010421
1288,1288,1274.1,1275,138,178400,-0.014,-0.0234,-0.0507,2000/10/09,1338.44,1308.177037,1197.434693,1338.44,1479.445307,0.275043928,37.88251163,-5.229414313,-3.741110755
1271,1277.2,1235,1245.2,854,202800,-0.0234,-0.0279,-0.0249,2000/10/10,1327.9775,1299.780098,1191.993249,1327.9775,1463.961751,0.19563571,33.76635637,-5.364073075,-4.213178368
1230,1230.05,1202.5,1210.4,692,237600,-0.0279,0.0032,-0.0212,2000/10/11,1314.9125,1287.862752,1186.683791,1314.9125,1443.141209,0.092476207,29.7069814,-5.159887874,-4.58028606
1195,1219.5,1190,1214.25,614,236400,0.0032,-0.0243,-0.024,2000/10/12,1302.7825,1278.047718,1185.090566,1302.7825,1420.474434,0.123880341,30.69958755,-5.056144775,-4.833419025
1192.95,1195,1178.75,1184.75,636,230800,-0.0243,0.0003,-0.0172,2000/10/13,1289.4575,1265.608023,1182.130974,1289.4575,1396.784026,0.012201207,27.49571156,-4.867517666,-4.979040395
1227,1229,1183.5,1185.05,854,245600,0.0003,-0.0174,-0.0373,2000/10/16,1277.4925,1254.866953,1180.089593,1277.4925,1374.895407,0.025463341,27.5784857,-4.838464895,-5.04072651
1172,1175,1150,1164.4,480,285600,-0.0174,-0.0202,0.0038,2000/10/17,1267.4825,1242.804693,1166.849676,1267.4825,1368.115324,-0.012171357,25.42667509,-4.679128579,-5.028168074
1151,1157,1133,1140.9,272,274400,-0.0202,0.0245,-0.0018,2000/10/18,1258.09,1229.2174,1147.509832,1258.09,1368.670168,-0.029887058,23.20748644,-4.704593777,-4.993215792
1144.9,1180,1111.15,1168.8,1322,330000,0.0245,-0.0256,-0.0204,2000/10/19,1249.0625,1221.161747,1140.292771,1249.0625,1357.832229,0.131043945,30.91651911,-4.631045317,-4.947807808
1200,1214,1078,1138.85,494,290000,-0.0256,0.0053,0.0125,2000/10/20,1239.4325,1210.186847,1127.487311,1239.4325,1351.377689,0.050751126,27.70164567,-4.82796786,-4.903202646
1165,1165,1142.5,1144.9,244,271600,0.0053,0.0071,0.0331,2000/10/23,1233.0325,1201.481934,1115.00221,1233.0325,1351.06279,0.126653039,29.30094635,-4.908288156,-4.852559878
1136,1155,1136,1153.05,332,226800,0.0071,0.0258,0.0371,2000/10/24,1226.0175,1195.024343,1106.492991,1226.0175,1345.542009,0.194759257,31.49923172,-5.048327596,-4.840164291
1164,1189.7,1164,1182.85,572,140800,0.0258,0.0109,0.0051,2000/10/25,1221.87,1193.401097,1102.39842,1221.87,1341.34158,0.336697564,38.97140874,-5.132232514,-4.848618484
1195,1196.5,1190,1195.8,112,260000,0.0109,-0.0058,-0.0174,2000/10/26,1216.915,1193.720951,1101.830235,1216.915,1331.999765,0.40826327,41.93555855,-5.072836839,-4.871431726
1205,1205,1181.3,1188.9,304,279600,-0.0058,-0.0117,-0.0061,2000/10/27,1213.0075,1193.078158,1099.703955,1213.0075,1326.311045,0.39361542,40.79851993,-4.742290281,-4.860745658
1190,1194,1174.9,1175,152,292000,-0.0117,0.0056,0.0277,2000/10/30,1207.6175,1190.667737,1097.907882,1207.6175,1317.327118,0.351346215,38.53197442,-4.541251232,-4.845425952
1179.45,1182,1164,1181.6,610,234000,0.0056,0.022,0.0416,2000/10/31,1202.1625,1189.458705,1098.85706,1202.1625,1305.46794,0.400477167,40.2298969,-4.288150164,-4.79915444
1194.95,1210.5,1193.05,1207.6,452,200800,0.022,0.0192,0.0344,2000/11/01,1197.1,1191.877544,1106.001334,1197.1,1288.198666,0.557629823,46.49950624,-3.874492793,-4.715093048
1209,1232,1209,1230.8,512,202000,0.0192,0.0149,0.0121,2000/11/02,1194.06,1197.067205,1112.187608,1194.06,1275.932392,0.724373559,51.39848549,-3.313054223,-4.546769311
1236,1259,1233,1249.1,836,187600,0.0149,-0.0028,0.0038,2000/11/03,1191.86,1204.004911,1118.868051,1191.86,1264.851949,0.892098039,54.90611151,-2.430239912,-4.271430617
1234,1265,1160.25,1245.65,508,194000,-0.0028,0.0066,0.0164,2000/11/06,1190.3925,1209.55759,1123.195541,1190.3925,1257.589459,0.91116072,54.11320961,-1.836297421,-3.914538375
1240,1257,1236.5,1253.9,416,239600,0.0066,0.0097,0.0145,2000/11/07,1190.8275,1215.469911,1122.121296,1190.8275,1259.533704,0.95900149,55.75852043,-0.955474128,-3.45045411
1261,1280,1261,1266.05,1162,225200,0.0097,0.0047,-0.0182,2000/11/08,1193.61,1222.213923,1117.816586,1193.61,1269.403414,0.977877933,58.13906445,-0.044555427,-2.891756176
1267.05,1280,1254,1272.05,1090,262400,0.0047,-0.0228,-0.0461,2000/11/09,1196.5,1228.858733,1113.695423,1196.5,1279.304577,0.956194588,59.3036247,0.891939014,-2.265730699
1269,1269,1242,1243,484,296000,-0.0228,-0.0238,0.0043,2000/11/10,1199.4125,1230.744235,1114.397767,1199.4125,1284.427233,0.756352625,51.79107248,1.462945247,-1.598597756
1230.05,1254,1208,1213.4,1244,446400,-0.0238,0.0288,0.0298,2000/11/13,1200.83,1228.431671,1115.875063,1200.83,1285.784937,0.573980397,45.47037431,1.842755502,-0.917386016
1219,1253,1217.5,1248.35,826,439600,0.0288,0.001,-0.0094,2000/11/14,1205.0275,1231.087448,1119.394174,1205.0275,1290.660826,0.752953506,52.79577189,2.340923272,-0.226784231
1259.8,1273,1248,1249.6,752,479200,0.001,-0.0104,-0.0078,2000/11/15,1210.4625,1233.555788,1128.062355,1210.4625,1292.862645,0.737484413,53.0387604,2.842792807,0.457198773
1266,1266,1233,1236.6,422,479200,-0.0104,0.0026,0.0035,2000/11/16,1213.8525,1233.961683,1133.02369,1213.8525,1294.68131,0.64071406,50.14759471,3.137100343,1.075792134
1227.5,1242,1222,1239.85,552,498400,0.0026,0.0009,-0.0008,2000/11/17,1218.9025,1234.746792,1145.136753,1218.9025,1292.668247,0.641986632,50.8686409,3.275718944,1.643793953
1237,1243.5,1236,1240.95,344,504400,0.0009,-0.0017,-0.0144,2000/11/20,1223.705,1235.573886,1157.742329,1223.705,1289.667671,0.630717873,51.12630042,3.160974419,2.101177125
1230.1,1239.9,1228,1238.85,296,502400,-0.0017,-0.0127,-0.0176,2000/11/21,1227.995,1236.010702,1170.333003,1227.995,1285.656997,0.594126119,50.58093753,2.914050485,2.429911115
1246,1246,1220,1223.1,298,503200,-0.0127,-0.0049,0.0032,2000/11/22,1230.0075,1234.289275,1176.101255,1230.0075,1283.913745,0.435930429,46.5687456,2.567489705,2.616083414
1225,1227,1215,1217.05,510,496800,-0.0049,0.0082,0.0311,2000/11/23,1231.07,1231.990705,1179.099658,1231.07,1283.040342,0.365115376,45.08920494,2.067747381,2.683283651
1224,1232,1224,1227.05,482,519600,0.0082,0.0227,0.0363,2000/11/24,1232.9775,1231.331944,1184.66671,1232.9775,1281.28829,0.438652422,48.02839584,1.613114619,2.657767997
1234,1256.5,1233,1254.85,542,502400,0.0227,0.0133,0.0086,2000/11/27,1236.97,1234.467685,1195.816927,1236.97,1278.123073,0.717237727,55.20656814,1.124951096,2.522659978
1251.6,1273.5,1251.6,1271.55,498,520000,0.0133,-0.0046,-0.0017,2000/11/28,1241.4675,1239.411994,1206.272994,1241.4675,1276.662006,0.927374939,58.88066187,0.917418733,2.308729525
1274.9,1279.5,1255.5,1265.7,940,564400,-0.0046,0.0029,0.0134,2000/11/29,1244.3725,1242.917061,1211.31288,1244.3725,1277.43212,0.822561179,57.11341153,0.916273153,2.061970948
1181,1270,1181,1269.4,598,501200,0.0029,0.0105,0.0097,2000/11/30,1246.3025,1246.44812,1212.148855,1246.3025,1280.456145,0.838141067,57.97260003,0.786281793,1.78536682
1264,1285,1262.5,1282.7,1820,473200,0.0105,-0.0008,0.0062,2000/12/01,1247.9825,1251.281704,1210.318561,1247.9825,1285.646439,0.96088515,60.99739001,0.736995349,1.516035813
1285,1292.9,1276.15,1281.65,818,551200,-0.0008,0.007,0.0152,2000/12/04,1249.7825,1255.33081,1209.394082,1249.7825,1290.170918,0.894512857,60.62641306,0.749926179,1.275577556
1280,1294,1280,1290.6,1078,557600,0.007,0.0082,0.0098,2000/12/05,1251.6175,1260.033369,1207.486125,1251.6175,1295.748875,0.941664234,62.70834144,0.729838585,1.071394099
1318,1320,1300,1301.15,388,564400,0.0082,0.0016,0.0121,2000/12/06,1253.3725,1265.515586,1204.543283,1253.3725,1302.201717,0.989230654,65.05403841,0.760621617,0.926157903
1304.45,1310,1298,1303.2,294,582400,0.0016,0.0105,0.0214,2000/12/07,1254.93,1270.540175,1202.001979,1254.93,1307.858021,0.955996646,65.508047,0.892758138,0.846118294
1308,1318.8,1308,1316.9,510,638000,0.0105,0.0108,0.0134,2000/12/08,1258.625,1276.721485,1199.57964,1258.625,1317.67036,0.993476543,68.45733296,1.24858891,0.859855828
1318.1,1332.5,1317.3,1331.1,320,648000,0.0108,0.0026,0.015,2000/12/11,1264.51,1283.971953,1201.3492,1264.51,1327.6708,1.027146588,71.20560383,1.749086833,0.952263395
1339,1340,1330,1334.55,440,665600,0.0026,0.0123,0.0093,2000/12/12,1268.82,1290.715693,1199.222059,1268.82,1338.417941,0.972212245,71.84739703,2.182454881,1.092950254
1338.6,1357,1338.6,1351,386,675200,0.0123,-0.003,-0.0263,2000/12/13,1273.89,1298.753601,1196.314987,1273.89,1351.465013,0.997002819,74.73858484,2.513376959,1.284849717
1359,1365.9,1345,1347,558,702000,-0.003,-0.0234,-0.0192,2000/12/14,1279.41,1305.186454,1197.636492,1279.41,1361.183508,0.913275654,72.78128992,2.756909482,1.50928462
1343.95,1345,1311,1315.45,882,639600,-0.0234,0.0043,-0.0038,2000/12/15,1283.19,1306.554927,1202.094189,1283.19,1364.285811,0.698900532,59.5371566,2.947862592,1.753499777
1307,1323,1301.55,1321.1,612,644400,0.0043,-0.008,-0.0179,2000/12/18,1287.1975,1308.49427,1206.929944,1287.1975,1367.465056,0.711184331,60.90902993,3.043165012,2.010536047
1320,1326,1308,1310.5,796,738000,-0.008,-0.0099,-0.0259,2000/12/19,1290.78,1308.7617,1213.109874,1290.78,1368.450126,0.626947136,57.00416259,2.923472138,2.250852771
1301,1304,1287.5,1297.5,488,716800,-0.0099,-0.0161,-0.0422,2000/12/20,1294.5,1307.26014,1223.294593,1294.5,1365.705407,0.521065816,52.5542204,2.87471544,2.471070249
1277,1286,1261,1276.55,622,685600,-0.0161,-0.0264,-0.0516,2000/12/21,1297.475,1303.165455,1235.028643,1297.475,1359.921357,0.332456199,46.28372998,2.700281994,2.632369481
1288,1291.5,1240,1242.8,814,611600,-0.0264,-0.0258,-0.0142,2000/12/22,1298.2625,1295.116728,1239.076337,1298.2625,1357.448663,0.031457208,38.34611977,2.302128901,2.6938186
1245,1245,1210,1210.7,512,598000,-0.0258,0.0119,0.0295,2000/12/26,1296.055,1283.861164,1227.937316,1296.055,1364.172684,-0.126525997,32.61662445,1.790182642,2.650232795
1218.9,1237,1218.9,1225.15,276,589200,0.0119,0.0174,0.0339,2000/12/27,1293.735,1276.033009,1219.546766,1293.735,1367.923234,0.037763631,37.16781096,1.241625297,2.508927055
1243.9,1248.6,1237,1246.45,244,582000,0.0174,0.0162,0.0028,2000/12/28,1292.7725,1272.088608,1216.67933,1292.7725,1368.86567,0.195619855,43.2522046,0.667997409,2.276825714
1253,1268,1246,1266.65,804,482800,0.0162,-0.0131,0.0042,2000/12/29,1292.635,1271.36346,1216.363661,1292.635,1368.906339,0.329654229,48.35940394,0.09555343,1.959902474
1266,1276.95,1240,1250,1826,616800,-0.0131,0.0176,0.034,2001/01/01,1291,1268.514999,1212.57531,1291,1369.42469,0.238602728,44.78187131,-0.658580716,1.548597393
1256.4,1277.95,1250,1271.95,1180,700400,0.0176,0.0162,0.0338,2001/01/02,1290.515,1268.972999,1211.745799,1290.515,1369.284201,0.382155718,50.03013679,-1.278307062,1.081733037
1260,1295.9,1260,1292.55,1966,655200,0.0162,0.0174,0.0299,2001/01/03,1290.6125,1272.116599,1211.838292,1290.6125,1369.386708,0.512297807,54.4096369,-1.537717751,0.591462683
1329.9,1330,1311,1315,1248,640400,0.0174,0.0124,-0.0023,2001/01/04,1291.305,1277.834386,1211.931201,1291.305,1370.678799,0.649262102,58.66172753,-1.704791257,0.102010099
1255,1333,1255,1331.25,768,667600,0.0124,-0.0145,-0.0136,2001/01/05,1292.7075,1284.956468,1211.57086,1292.7075,1373.84414,0.737515999,61.46344328,-1.762779712,-0.349646413
1322,1334.25,1305,1311.95,788,675200,-0.0145,0.0009,-0.0178,2001/01/08,1292.46,1288.555605,1211.590299,1292.46,1373.329701,0.620502485,56.56032602,-1.793981137,-0.747886833
1321,1323,1308,1313.1,944,692000,0.0009,-0.0187,-0.026,2001/01/09,1291.56,1291.828191,1212.041068,1291.56,1371.078932,0.635439444,56.78155892,-1.647388167,-1.068888329
1319.9,1324,1285.25,1288.6,2324,838800,-0.0187,-0.0074,-0.0028,2001/01/10,1289.2625,1291.397766,1212.228281,1289.2625,1366.296719,0.495699963,50.84096506,-1.372907244,-1.295655513
1294.25,1296.5,1277,1279,772,840400,-0.0074,0.0047,0.0053,2001/01/11,1285.6625,1289.74473,1213.960402,1285.6625,1357.364598,0.453540411,48.6913334,-0.899152035,-1.406178342
